name,category,sub-category,cas,unit,median,mean,std,cv,type
Thallium,air,"low population density, long-term",007440-28-0,kilogram,0.01907130118582404,0.01907130118582403,3.47118297755735e-18,1.820108100509434e-16,emission
Cumene,air,,000098-82-8,kilogram,0.01573536153403258,0.02069413169625353,0.01716892376881561,1.0911044993585,emission
Hexane,water,surface water,000110-54-3,kilogram,0.02047169873618244,0.02198127521756602,0.008263397274769614,0.4036498085117176,emission
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",soil,industrial,001746-01-6,kilogram,0.01548723399827303,0.02244191356380884,0.02264833923702606,1.462387618057011,emission
Triallate,water,ground-,2303-17-5,kilogram,0.0242684336381998,0.02471146287617424,0.0050820060439391,0.2094080779873552,emission
Acenaphthene,air,urban air close to ground,000083-32-9,kilogram,0.01891062916929021,0.02543194970396085,0.02244935672339291,1.187129022647718,emission
Triallate,air,"low population density, long-term",2303-17-5,kilogram,0.02884043961505529,0.02939743317456608,0.005860811487184409,0.2032150537720981,emission
Furan,air,,000110-00-9,kilogram,0.02452570643970221,0.03331959307651641,0.02995400179463673,1.221330845995416,emission
Benzovindiflupyr,water,ground-,,kilogram,0.04053681551753613,0.04135495395613138,0.007975520457909094,0.1967475825637784,emission
Antimony,soil,agricultural,007440-36-0,kilogram,0.04903321581259831,0.04913801100776859,0.0003641689849605131,0.007426985542868384,emission
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",soil,,001746-01-6,kilogram,0.03372005967353676,0.0532439976712485,0.06504024580080366,1.92882949883528,emission
Helium,air,urban air close to ground,007440-59-7,kilogram,0.05307678893470665,0.05333695071356821,0.005160528924106993,0.09722760226613011,emission
4-Methyl-2-pentanol,water,surface water,000108-11-2,kilogram,0.05428475133067695,0.0584992390438813,0.0197113170579295,0.3631096500351915,emission
Sulfentrazone,water,ground-,122836-35-5,kilogram,0.05876087757220583,0.05968234182077755,0.008898177073200321,0.151430295816569,emission
Ozone,air,urban air close to ground,010028-15-6,kilogram,0.07321363441219651,0.07411665405060398,0.00444077595164671,0.06065504038011437,emission
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air,"low population density, long-term",001746-01-6,kilogram,0.123308710874402,0.1237367100930283,0.008757398438167235,0.0710201118482799,emission
Methyl pentane,water,surface water,000107-83-5,kilogram,0.1513763410635399,0.1516840709898934,0.003023204229848483,0.01997144473573648,emission
Bentazone,water,surface water,025057-89-0,kilogram,0.2338615584707366,0.2346006385917623,0.004567147965696195,0.01952928046645036,emission
"Diatomite, in ground",natural resource,in ground,007631-86-9,kilogram,0.2458643271269544,0.2465803938404398,0.007653259079861053,0.03112797683703508,natural resource
4-Methyl-2-pentanone,air,urban air close to ground,000108-10-1,kilogram,0.3572833308552636,0.3577117544629078,0.006374793171199104,0.01784240299131545,emission
Benzovindiflupyr,soil,agricultural,,kilogram,0.3622934518622587,0.3684130233625587,0.06341647119831341,0.175041726181747,emission
Carbaryl,water,surface water,000063-25-2,kilogram,0.3858635748184909,0.4062816438267797,0.119102908272344,0.3086658499143633,emission
"Ethane, 1,1,1-trichloro-, HCFC-140",air,,000071-55-6,kilogram,0.3153521402430156,0.4313460835828136,0.3762413800915471,1.193083325204672,emission
Isoprene,air,,000078-79-5,kilogram,0.34069889306059,0.4520531077022918,0.4006593889824229,1.175992634972164,emission
Methomyl,water,ground-,016752-77-5,kilogram,0.4405966045603944,0.4559127924958106,0.1294768797163098,0.293867175498312,emission
Carbon disulfide,air,,000075-15-0,kilogram,0.3762556431080633,0.4987096402315505,0.4176766381944982,1.110087372362781,emission
Silver,soil,industrial,007440-22-4,kilogram,0.5272034096734302,0.5272034096734303,1.110778552818352e-16,2.106925965267202e-16,emission
Ethephon,water,ground-,016672-87-0,kilogram,0.5418621157176606,0.5668425133167475,0.1777138296978476,0.3279687295770389,emission
"Solids, inorganic",water,ocean,,kilogram,0.5781902340749211,0.5781902340749211,0.0,0.0,emission
Mercury,air,"low population density, long-term",007439-97-6,kilogram,0.7177901359412306,0.7177901359412306,0.0,0.0,emission
Benzal chloride,air,urban air close to ground,000098-87-3,kilogram,0.7691753900940879,0.7700765524630461,0.004681494398330634,0.006086380893905068,emission
